Customer_ID,Customer_Name,Region
CUST-001,Marché Nordique,Lévis
CUST-002,Épicerie Bellevue,Longueuil
CUST-003,FreshMart Laval,Gatineau
CUST-004,QuickStop Gatineau,Lévis
CUST-005,Provisions du Coin,Sherbrooke
CUST-006,Metro Express Sherbrooke,Gatineau
CUST-007,Family Foods Trois-Rivières,Lévis
CUST-008,Corner Grocer Ottawa,Gatineau
CUST-009,ValuMart Longueuil,Montréal
CUST-010,Épicerie St-Laurent,Sherbrooke
CUST-011,GreenLeaf Market,Longueuil
CUST-012,Depanneur Plus,Québec City
CUST-013,SuperSave Terrebonne,Sherbrooke
CUST-014,Boutique Alimentaire Rive-Sud,Québec City
CUST-015,Marché Central Québec,Ottawa
