Order_Line_ID,Order_ID,SKU_ID,Qty_Ordered,Qty_Shipped
OL-000001,ORD-00306,SKU-018,11,11
OL-000002,ORD-00306,SKU-028,48,48
OL-000003,ORD-00306,SKU-007,11,11
OL-000004,ORD-00306,SKU-014,44,44
OL-000005,ORD-00029,SKU-015,41,41
OL-000006,ORD-00228,SKU-026,45,45
OL-000007,ORD-00228,SKU-012,54,54
OL-000008,ORD-00228,SKU-007,49,49
OL-000009,ORD-00228,SKU-023,46,46
OL-000010,ORD-00158,SKU-016,57,57
OL-000011,ORD-00158,SKU-011,13,13
OL-000012,ORD-00158,SKU-008,9,9
OL-000013,ORD-00158,SKU-023,56,56
OL-000014,ORD-00294,SKU-012,14,14
OL-000015,ORD-00294,SKU-022,35,35
OL-000016,ORD-00294,SKU-013,57,50
OL-000017,ORD-00225,SKU-005,44,44
OL-000018,ORD-00225,SKU-010,51,51
OL-000019,ORD-00225,SKU-014,57,57
OL-000020,ORD-00225,SKU-018,28,28
OL-000021,ORD-00225,SKU-022,11,11
OL-000022,ORD-00095,SKU-025,11,11
OL-000023,ORD-00095,SKU-027,11,11
OL-000024,ORD-00197,SKU-021,10,10
OL-000025,ORD-00197,SKU-017,29,29
OL-000026,ORD-00197,SKU-001,44,44
OL-000027,ORD-00063,SKU-010,55,55
OL-000028,ORD-00063,SKU-008,45,45
OL-000029,ORD-00063,SKU-014,47,47
OL-000030,ORD-00063,SKU-012,34,34
OL-000031,ORD-00063,SKU-028,11,11
OL-000032,ORD-00310,SKU-029,42,42
OL-000033,ORD-00310,SKU-002,20,20
OL-000034,ORD-00072,SKU-004,12,12
OL-000035,ORD-00072,SKU-002,40,40
OL-000036,ORD-00072,SKU-023,39,39
OL-000037,ORD-00072,SKU-020,9,8
OL-000038,ORD-00042,SKU-001,51,51
OL-000039,ORD-00042,SKU-008,47,47
OL-000040,ORD-00042,SKU-028,49,49
OL-000041,ORD-00042,SKU-025,15,15
OL-000042,ORD-00253,SKU-028,20,20
OL-000043,ORD-00175,SKU-001,38,38
OL-000044,ORD-00175,SKU-002,58,58
OL-000045,ORD-00175,SKU-030,49,49
OL-000046,ORD-00175,SKU-025,57,57
OL-000047,ORD-00277,SKU-026,8,8
OL-000048,ORD-00277,SKU-009,41,41
OL-000049,ORD-00075,SKU-027,7,6
OL-000050,ORD-00075,SKU-026,30,30
OL-000051,ORD-00075,SKU-004,16,16
OL-000052,ORD-00075,SKU-030,11,11
OL-000053,ORD-00075,SKU-023,11,11
OL-000054,ORD-00204,SKU-017,29,29
OL-000055,ORD-00204,SKU-016,13,13
OL-000056,ORD-00204,SKU-014,49,49
OL-000057,ORD-00204,SKU-022,45,45
OL-000058,ORD-00312,SKU-006,5,5
OL-000059,ORD-00052,SKU-003,58,18
OL-000060,ORD-00052,SKU-022,46,46
OL-000061,ORD-00142,SKU-002,53,53
OL-000062,ORD-00142,SKU-003,30,30
OL-000063,ORD-00142,SKU-019,44,44
OL-000064,ORD-00142,SKU-014,27,27
OL-000065,ORD-00205,SKU-012,10,10
OL-000066,ORD-00121,SKU-005,18,18
OL-000067,ORD-00121,SKU-029,40,40
OL-000068,ORD-00121,SKU-018,52,25
OL-000069,ORD-00121,SKU-011,36,36
OL-000070,ORD-00171,SKU-029,28,28
OL-000071,ORD-00171,SKU-005,36,36
OL-000072,ORD-00171,SKU-008,34,17
OL-000073,ORD-00097,SKU-019,32,32
OL-000074,ORD-00097,SKU-013,42,42
OL-000075,ORD-00097,SKU-029,27,27
OL-000076,ORD-00097,SKU-007,55,55
OL-000077,ORD-00058,SKU-030,20,20
OL-000078,ORD-00058,SKU-029,10,10
OL-000079,ORD-00058,SKU-004,21,21
OL-000080,ORD-00284,SKU-022,13,13
OL-000081,ORD-00284,SKU-012,27,19
OL-000082,ORD-00284,SKU-013,51,51
OL-000083,ORD-00284,SKU-018,16,9
OL-000084,ORD-00143,SKU-009,13,13
OL-000085,ORD-00143,SKU-016,17,17
OL-000086,ORD-00143,SKU-027,10,10
OL-000087,ORD-00143,SKU-002,36,36
OL-000088,ORD-00143,SKU-017,24,24
OL-000089,ORD-00168,SKU-017,40,40
OL-000090,ORD-00168,SKU-030,38,38
OL-000091,ORD-00168,SKU-021,22,22
OL-000092,ORD-00012,SKU-023,15,12
OL-000093,ORD-00012,SKU-011,28,28
OL-000094,ORD-00301,SKU-018,49,49
OL-000095,ORD-00301,SKU-016,45,45
OL-000096,ORD-00301,SKU-011,35,35
OL-000097,ORD-00183,SKU-015,22,22
OL-000098,ORD-00183,SKU-004,33,33
OL-000099,ORD-00183,SKU-023,51,21
OL-000100,ORD-00183,SKU-025,26,14
OL-000101,ORD-00183,SKU-024,32,32
OL-000102,ORD-00235,SKU-004,8,8
OL-000103,ORD-00096,SKU-027,51,51
OL-000104,ORD-00247,SKU-003,8,8
OL-000105,ORD-00247,SKU-017,45,45
OL-000106,ORD-00247,SKU-011,54,54
OL-000107,ORD-00247,SKU-002,5,5
OL-000108,ORD-00247,SKU-008,29,29
OL-000109,ORD-00290,SKU-011,11,11
OL-000110,ORD-00290,SKU-012,32,11
OL-000111,ORD-00290,SKU-024,25,25
OL-000112,ORD-00290,SKU-022,32,32
OL-000113,ORD-00290,SKU-019,57,57
OL-000114,ORD-00045,SKU-030,29,29
OL-000115,ORD-00123,SKU-021,26,26
OL-000116,ORD-00123,SKU-009,55,55
OL-000117,ORD-00123,SKU-023,40,40
OL-000118,ORD-00123,SKU-012,23,23
OL-000119,ORD-00238,SKU-021,16,16
OL-000120,ORD-00311,SKU-022,55,55
OL-000121,ORD-00311,SKU-005,59,42
OL-000122,ORD-00311,SKU-014,57,57
OL-000123,ORD-00311,SKU-015,35,14
OL-000124,ORD-00082,SKU-025,40,40
OL-000125,ORD-00082,SKU-030,12,12
OL-000126,ORD-00146,SKU-025,50,50
OL-000127,ORD-00146,SKU-012,46,46
OL-000128,ORD-00146,SKU-013,7,7
